lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-9.516667,52.016667,30,10002.2,-4.9125,1.6754
-9.516667,52.016667,30,10063.9,-3.5125,1.39021
-9.516667,52.016667,30,10125.7,-5.05,3.63515
-9.516667,52.016667,30,10187.5,-3.45,1.03923
-9.516667,52.016667,30,10249.3,-5.075,3.54391
-9.516667,52.016667,30,10311,-9.2625,3.24915
-9.516667,52.016667,30,10372.8,-5.425,3.46977
-9.516667,52.016667,30,10434.6,-9.7875,3.53935
-9.516667,52.016667,30,10496.4,-9.2125,5.89247
-9.516667,52.016667,30,10558.2,-5.1625,3.11995
-9.516667,52.016667,30,10619.9,-6.75,1.68523
-9.516667,52.016667,30,10681.7,-8.4,5.41321
-9.516667,52.016667,30,10743.5,-7,5.05625
-9.516667,52.016667,30,10990.6,-9.1375,1.11347
-9.516667,52.016667,30,11175.9,-7.875,3.77501
-9.516667,52.016667,30,11361.2,-6.8875,4.59951
-9.516667,52.016667,30,11423,-6.925,4.55686
-9.516667,52.016667,30,11484.8,-6.7125,4.67346
-9.516667,52.016667,30,11546.6,-9.475,2.83788
-9.516667,52.016667,30,11793.7,-9.0625,5.59947
-9.516667,52.016667,30,11917.2,-7.8375,4.21797
-9.516667,52.016667,30,11979,-6.7375,5.49076
-9.516667,52.016667,30,12226.1,-8.975,5.74326
-9.416667,52.016667,60,-120,0,0
-9.416667,52.016667,60,-70,0,0
-9.416667,52.016667,60,-30,0,0
-9.416667,52.016667,60,-10,0,0
-9.416667,52.016667,60,0,0,0
-9.416667,52.016667,60,644,-2.3,2.79489
-9.416667,52.016667,60,670.8,-2.5,2.49227
-9.416667,52.016667,60,697.6,-1.4125,2.67979
-9.416667,52.016667,60,724.4,-1.3375,2.76092
-9.416667,52.016667,60,764.6,-2.0375,1.32227
-9.416667,52.016667,60,804.8,-2.6375,1.24205
-9.416667,52.016667,60,845,-3.2,1.15511
-9.416667,52.016667,60,871.8,-3.4625,1.40909
-9.416667,52.016667,60,912,-4.3125,2.34669
-9.416667,52.016667,60,979,-2.85,2.56738
-9.416667,52.016667,60,1046,-3.4,1.42729
-9.416667,52.016667,60,1453.75,-3.3625,1.68008
-9.416667,52.016667,60,1727.5,-2.9,3.64143
-9.416667,52.016667,60,2056,-2.7625,0.900694
-9.416667,52.016667,60,2165.5,-3.9125,2.64221
-9.416667,52.016667,60,2275,-2.375,1.28591
-9.416667,52.016667,60,2445.51,-3.05,1.66905
-9.416667,52.016667,60,2616.02,-2.7875,2.45557
-9.416667,52.016667,60,3127.56,-2.6625,2.58509
-9.416667,52.016667,60,3553.84,-6.75,4.35955
-9.416667,52.016667,60,4576.92,-5.2,3.29848
-9.416667,52.016667,60,5600,-3.925,4.4077
-9.416667,52.016667,60,6537.82,-2.8375,2.73231
-9.416667,52.016667,60,7390.38,-6.0125,2.99878
-9.144444,38.573611,70,-120,0,0
-9.144444,38.573611,70,-70,0,0
-9.144444,38.573611,70,-30,0,0
-9.144444,38.573611,70,-10,0,0
-9.144444,38.573611,70,0,-4.575,2.37712
-9.144444,38.573611,70,0,0,0
-9.144444,38.573611,70,26,-7.1,2.95393
-9.144444,38.573611,70,58,-6.4875,4.40533
-9.144444,38.573611,70,263,-7.3625,4.49251
-9.144444,38.573611,70,422,-6.15,3.31878
-9.144444,38.573611,70,489,-4.85,3.86042
-9.144444,38.573611,70,551,-7.575,3.95574
-9.144444,38.573611,70,603,-6.0125,3.3125
-9.144444,38.573611,70,632,-3.625,2.01548
-9.144444,38.573611,70,661,-6.85,3.91408
-9.144444,38.573611,70,690,-7.575,3.95574
